X,Y,Eccentricity,y1,x1,Dx,y3,yP2,fP3,x2_derived,x3_derived,xP3_derived,yP3_derived
-91.85482738160078,0.0,0.34377537304652445,2.0,34.59124599421387,22.67233539317305,4.810848820189427,9.718206480031384,1.4310137846701758,69.18249198842774,91.85482738160078,101.62691646672388,9.621697640378853
-91.86426686192033,0.2429236619675291,,,,,,,,,,,
-91.89049922164327,0.4855570349447259,,,,,,,,,,,
-91.93048011387658,0.7276118928855418,,,,,,,,,,,
-91.98127691288165,0.968802455462436,,,,,,,,,,,
-92.04006707391606,1.2088456028236234,,,,,,,,,,,
-92.10413649307571,1.447461090350298,,,,,,,,,,,
-92.17087786713662,1.684371763413855,,,,,,,,,,,
-92.23778905339702,1.9193037721331416,,,,,,,,,,,
-92.30247142951919,2.151986786131666,,,,,,,,,,,
-92.3626282533715,2.382154209294849,,,,,,,,,,,
-92.41606302287028,2.6095433945272433,,,,,,,,,,,
-92.46067783582188,2.8338958585097624,,,,,,,,,,,
-92.49447174976449,3.0549574964569235,,,,,,,,,,,
-92.51553914181025,3.272478796874066,,,,,,,,,,,
-92.52206806848702,3.4862150563145917,,,,,,,,,,,
-92.5123386255805,3.6959265941371906,,,,,,,,,,,
-92.48472130797609,3.901378967263075,,,,,,,,,,,
-92.43767536950088,4.102343184933212,,,,,,,,,,,
-92.3697471827656,4.298595923465548,,,,,,,,,,,
-92.27956859900651,4.489919741012248,,,,,,,,,,,
-92.16585530792747,4.676103292316917,,,,,,,,,,,
-92.02740519754184,4.856941543471846,,,,,,,,,,,
-91.86309671401432,5.032235986675225,,,,,,,,,,,
-91.67188722150311,5.201794854988391,,,,,,,,,,,
-91.45281136200175,5.36543333709305,,,,,,,,,,,
-91.20497941518103,5.522973792048502,,,,,,,,,,,
-90.92757565823105,5.674245964048893,,,,,,,,,,,
-90.61985672570309,5.81908719718042,,,,,,,,,,,
-90.28114996935159,5.957342650178585,,,,,,,,,,,
-89.91085181797611,6.088865511185411,,,,,,,,,,,
-89.50842613726336,6.213517212506679,,,,,,,,,,,
-89.07340258962891,6.331167645369163,,,,,,,,,,,
-88.60537499405946,6.44169537467785,,,,,,,,,,,
-88.10399968595453,6.544987853773183,,,,,,,,,,,
-87.56899387696863,6.6409416391882825,,,,,,,,,,,
-87.000134014853,6.729462605406187,,,,,,,,,,,
-86.39725414329774,6.810466159617078,,,,,,,,,,,
-85.76024426177365,6.88387745647551,,,,,,,,,,,
-85.08904868537427,6.949631612857649,,,,,,,,,,,
-84.38366440465772,7.007673922618492,,,,,,,,,,,
-83.6441394454888,7.057960071349111,,,,,,,,,,,
-82.87057122888085,7.100456351133877,,,,,,,,,,,
-82.06310493083765,7.13513987530769,,,,,,,,,,,
-81.2219318421955,7.161998793213213,,,,,,,,,,,
-80.34728772846515,7.181032504958105,,,,,,,,,,,
-79.43945118967365,7.192251876172247,,,,,,,,,,,
-78.4987420202064,7.195679452764976,,,,,,,,,,,
-77.52551956864906,7.1913496756823205,,,,,,,,,,,
-76.52018109762953,7.179309095664219,,,,,,,,,,,
-75.48316014365989,7.159616588001767,,,,,,,,,,,
-74.41492487697843,7.132343567294439,,,,,,,,,,,
-73.31597646139134,7.097574202207316,,,,,,,,,,,
-72.18684741411504,7.055405630228325,,,,,,,,,,,
-71.02809996561784,7.005948172425472,,,,,,,,,,,
-69.84032441946208,6.949325548204064,,,,,,,,,,,
-68.62413751214585,6.885675090063936,,,,,,,,,,,
-67.38018077294527,6.815147958356704,,,,,,,,,,,
-66.1091188837562,6.737909356042981,,,,,,,,,,,
-64.81163803893617,6.654138743449594,,,,,,,,,,,
-63.48844430514657,6.564030053026851,,,,,,,,,,,
-62.14026198119441,6.467791904105743,,,,,,,,,,,
-60.76783195787427,6.365647817655184,,,,,,,,,,,
-59.371910077810305,6.257836431039238,,,,,,,,,,,
-57.95326549529828,6.144611712774367,,,,,,,,,,,
-56.5126790361474,6.026243177286638,,,,,,,,,,,
-55.05094155752221,5.903016099668968,,,,,,,,,,,
-53.568852307784766,5.775231730438358,,,,,,,,,,,
-52.06721728633646,5.643207510293115,,,,,,,,,,,
-50.5468476034599,5.5072772848700895,,,,,,,,,,,
-49.008557840160954,5.367791519501897,,,,,,,,,,,
-47.45316440801078,5.225117513974171,,,,,,,,,,,
-45.88148390898757,5.079639617282766,,,,,,,,,,,
-44.29433149531867,4.931759442391007,,,,,,,,,,,
-42.69251922932251,4.781896080986918,,,,,,,,,,,
-41.076854443250525,4.630486318240452,,,,,,,,,,,
-39.44813809912908,4.477984847560716,,,,,,,,,,,
-37.80716314860149,4.324864485353212,,,,,,,,,,,
-36.15471289276992,4.171616385777059,,,,,,,,,,,
-34.4915593420374,4.018750255502238,,,,,,,,,,,
-32.81846157594968,3.866794568466801,,,,,,,,,,,
-31.136164103037288,3.7162967806341247,,,,,,,,,,,
-29.445395220657453,3.5678235447501305,,,,,,,,,,,
-27.746865374835973,3.4219609251005143,,,,,,,,,,,
-26.0412655201093,3.2793146122679824,,,,,,,,,,,
-24.32926547936639,3.1405101378894793,,,,,,,,,,,
-22.611512303690734,3.006193089413423,,,,,,,,,,,
-20.88862863220224,2.87702932485693,,,,,,,,,,,
-19.161211051899254,2.7537051875630527,,,,,,,,,,,
-17.429828457500456,2.636927720958009,,,,,,,,,,,
-15.695020411286837,2.5274248833084054,,,,,,,,,,,
-13.957295502943673,2.425945762478486,,,,,,,,,,,
-12.217129709402428,2.33326079068734,,,,,,,,,,,
-10.474964754682759,2.2501619592661566,,,,,,,,,,,
-8.73120646973444,2.177463033415436,,,,,,,,,,,
-6.986223152279323,2.1159997669622377,,,,,,,,,,,
-5.240343926653292,2.066630117117398,,,,,,,,,,,
-3.49385710364821,2.030234459232768,,,,,,,,,,,
-1.747008540353882,2.007715801558445,,,,,,,,,,,
-0.0,2.0,,,,,,,,,,,
0.0,2.0,,,,,,,,,,,
1.747008540353882,2.007715801558445,,,,,,,,,,,
3.49385710364821,2.030234459232768,,,,,,,,,,,
5.240343926653292,2.066630117117398,,,,,,,,,,,
6.986223152279323,2.1159997669622377,,,,,,,,,,,
8.73120646973444,2.177463033415436,,,,,,,,,,,
10.474964754682759,2.2501619592661566,,,,,,,,,,,
12.217129709402428,2.33326079068734,,,,,,,,,,,
13.957295502943673,2.425945762478486,,,,,,,,,,,
15.695020411286837,2.5274248833084054,,,,,,,,,,,
17.429828457500456,2.636927720958009,,,,,,,,,,,
19.161211051899254,2.7537051875630527,,,,,,,,,,,
20.88862863220224,2.87702932485693,,,,,,,,,,,
22.611512303690734,3.006193089413423,,,,,,,,,,,
24.32926547936639,3.1405101378894793,,,,,,,,,,,
26.0412655201093,3.2793146122679824,,,,,,,,,,,
27.746865374835973,3.4219609251005143,,,,,,,,,,,
29.445395220657453,3.5678235447501305,,,,,,,,,,,
31.136164103037288,3.7162967806341247,,,,,,,,,,,
32.81846157594968,3.866794568466801,,,,,,,,,,,
34.4915593420374,4.018750255502238,,,,,,,,,,,
36.15471289276992,4.171616385777059,,,,,,,,,,,
37.80716314860149,4.324864485353212,,,,,,,,,,,
39.44813809912908,4.477984847560716,,,,,,,,,,,
41.076854443250525,4.630486318240452,,,,,,,,,,,
42.69251922932251,4.781896080986918,,,,,,,,,,,
44.29433149531867,4.931759442391007,,,,,,,,,,,
45.88148390898757,5.079639617282766,,,,,,,,,,,
47.45316440801078,5.225117513974171,,,,,,,,,,,
49.008557840160954,5.367791519501897,,,,,,,,,,,
50.5468476034599,5.5072772848700895,,,,,,,,,,,
52.06721728633646,5.643207510293115,,,,,,,,,,,
53.568852307784766,5.775231730438358,,,,,,,,,,,
55.05094155752221,5.903016099668968,,,,,,,,,,,
56.5126790361474,6.026243177286638,,,,,,,,,,,
57.95326549529828,6.144611712774367,,,,,,,,,,,
59.371910077810305,6.257836431039238,,,,,,,,,,,
60.76783195787427,6.365647817655184,,,,,,,,,,,
62.14026198119441,6.467791904105743,,,,,,,,,,,
63.48844430514657,6.564030053026851,,,,,,,,,,,
64.81163803893617,6.654138743449594,,,,,,,,,,,
66.1091188837562,6.737909356042981,,,,,,,,,,,
67.38018077294527,6.815147958356704,,,,,,,,,,,
68.62413751214585,6.885675090063936,,,,,,,,,,,
69.84032441946208,6.949325548204064,,,,,,,,,,,
71.02809996561784,7.005948172425472,,,,,,,,,,,
72.18684741411504,7.055405630228325,,,,,,,,,,,
73.31597646139134,7.097574202207316,,,,,,,,,,,
74.41492487697843,7.132343567294439,,,,,,,,,,,
75.48316014365989,7.159616588001767,,,,,,,,,,,
76.52018109762953,7.179309095664219,,,,,,,,,,,
77.52551956864906,7.1913496756823205,,,,,,,,,,,
78.4987420202064,7.195679452764976,,,,,,,,,,,
79.43945118967365,7.192251876172247,,,,,,,,,,,
80.34728772846515,7.181032504958105,,,,,,,,,,,
81.2219318421955,7.161998793213213,,,,,,,,,,,
82.06310493083765,7.13513987530769,,,,,,,,,,,
82.87057122888085,7.100456351133877,,,,,,,,,,,
83.6441394454888,7.057960071349111,,,,,,,,,,,
84.38366440465772,7.007673922618492,,,,,,,,,,,
85.08904868537427,6.949631612857649,,,,,,,,,,,
85.76024426177365,6.88387745647551,,,,,,,,,,,
86.39725414329774,6.810466159617078,,,,,,,,,,,
87.000134014853,6.729462605406187,,,,,,,,,,,
87.56899387696863,6.6409416391882825,,,,,,,,,,,
88.10399968595453,6.544987853773183,,,,,,,,,,,
88.60537499405946,6.44169537467785,,,,,,,,,,,
89.07340258962891,6.331167645369163,,,,,,,,,,,
89.50842613726336,6.213517212506679,,,,,,,,,,,
89.91085181797611,6.088865511185411,,,,,,,,,,,
90.28114996935159,5.957342650178585,,,,,,,,,,,
90.61985672570309,5.81908719718042,,,,,,,,,,,
90.92757565823105,5.674245964048893,,,,,,,,,,,
91.20497941518103,5.522973792048502,,,,,,,,,,,
91.45281136200175,5.36543333709305,,,,,,,,,,,
91.67188722150311,5.201794854988391,,,,,,,,,,,
91.86309671401432,5.032235986675225,,,,,,,,,,,
92.02740519754184,4.856941543471846,,,,,,,,,,,
92.16585530792747,4.676103292316917,,,,,,,,,,,
92.27956859900651,4.489919741012248,,,,,,,,,,,
92.3697471827656,4.298595923465548,,,,,,,,,,,
92.43767536950088,4.102343184933212,,,,,,,,,,,
92.48472130797609,3.901378967263075,,,,,,,,,,,
92.5123386255805,3.6959265941371906,,,,,,,,,,,
92.52206806848702,3.4862150563145917,,,,,,,,,,,
92.51553914181025,3.272478796874066,,,,,,,,,,,
92.49447174976449,3.0549574964569235,,,,,,,,,,,
92.46067783582188,2.8338958585097624,,,,,,,,,,,
92.41606302287028,2.6095433945272433,,,,,,,,,,,
92.3626282533715,2.382154209294849,,,,,,,,,,,
92.30247142951919,2.151986786131666,,,,,,,,,,,
92.23778905339702,1.9193037721331416,,,,,,,,,,,
92.17087786713662,1.684371763413855,,,,,,,,,,,
92.10413649307571,1.447461090350298,,,,,,,,,,,
92.04006707391606,1.2088456028236234,,,,,,,,,,,
91.98127691288165,0.968802455462436,,,,,,,,,,,
91.93048011387658,0.7276118928855418,,,,,,,,,,,
91.89049922164327,0.4855570349447259,,,,,,,,,,,
91.86426686192033,0.2429236619675291,,,,,,,,,,,
91.85482738160078,0.0,,,,,,,,,,,
91.86426686192033,-0.2429236619675291,,,,,,,,,,,
91.89049922164327,-0.4855570349447259,,,,,,,,,,,
91.93048011387658,-0.7276118928855418,,,,,,,,,,,
91.98127691288165,-0.968802455462436,,,,,,,,,,,
92.04006707391606,-1.2088456028236234,,,,,,,,,,,
92.10413649307571,-1.447461090350298,,,,,,,,,,,
92.17087786713662,-1.684371763413855,,,,,,,,,,,
92.23778905339702,-1.9193037721331416,,,,,,,,,,,
92.30247142951919,-2.151986786131666,,,,,,,,,,,
92.3626282533715,-2.382154209294849,,,,,,,,,,,
92.41606302287028,-2.6095433945272433,,,,,,,,,,,
92.46067783582188,-2.8338958585097624,,,,,,,,,,,
92.49447174976449,-3.0549574964569235,,,,,,,,,,,
92.51553914181025,-3.272478796874066,,,,,,,,,,,
92.52206806848702,-3.4862150563145917,,,,,,,,,,,
92.5123386255805,-3.6959265941371906,,,,,,,,,,,
92.48472130797609,-3.901378967263075,,,,,,,,,,,
92.43767536950088,-4.102343184933212,,,,,,,,,,,
92.3697471827656,-4.298595923465548,,,,,,,,,,,
92.27956859900651,-4.489919741012248,,,,,,,,,,,
92.16585530792747,-4.676103292316917,,,,,,,,,,,
92.02740519754184,-4.856941543471846,,,,,,,,,,,
91.86309671401432,-5.032235986675225,,,,,,,,,,,
91.67188722150311,-5.201794854988391,,,,,,,,,,,
91.45281136200175,-5.36543333709305,,,,,,,,,,,
91.20497941518103,-5.522973792048502,,,,,,,,,,,
90.92757565823105,-5.674245964048893,,,,,,,,,,,
90.61985672570309,-5.81908719718042,,,,,,,,,,,
90.28114996935159,-5.957342650178585,,,,,,,,,,,
89.91085181797611,-6.088865511185411,,,,,,,,,,,
89.50842613726336,-6.213517212506679,,,,,,,,,,,
89.07340258962891,-6.331167645369163,,,,,,,,,,,
88.60537499405946,-6.44169537467785,,,,,,,,,,,
88.10399968595453,-6.544987853773183,,,,,,,,,,,
87.56899387696863,-6.6409416391882825,,,,,,,,,,,
87.000134014853,-6.729462605406187,,,,,,,,,,,
86.39725414329774,-6.810466159617078,,,,,,,,,,,
85.76024426177365,-6.88387745647551,,,,,,,,,,,
85.08904868537427,-6.949631612857649,,,,,,,,,,,
84.38366440465772,-7.007673922618492,,,,,,,,,,,
83.6441394454888,-7.057960071349111,,,,,,,,,,,
82.87057122888085,-7.100456351133877,,,,,,,,,,,
82.06310493083765,-7.13513987530769,,,,,,,,,,,
81.2219318421955,-7.161998793213213,,,,,,,,,,,
80.34728772846515,-7.181032504958105,,,,,,,,,,,
79.43945118967365,-7.192251876172247,,,,,,,,,,,
78.4987420202064,-7.195679452764976,,,,,,,,,,,
77.52551956864906,-7.1913496756823205,,,,,,,,,,,
76.52018109762953,-7.179309095664219,,,,,,,,,,,
75.48316014365989,-7.159616588001767,,,,,,,,,,,
74.41492487697843,-7.132343567294439,,,,,,,,,,,
73.31597646139134,-7.097574202207316,,,,,,,,,,,
72.18684741411504,-7.055405630228325,,,,,,,,,,,
71.02809996561784,-7.005948172425472,,,,,,,,,,,
69.84032441946208,-6.949325548204064,,,,,,,,,,,
68.62413751214585,-6.885675090063936,,,,,,,,,,,
67.38018077294527,-6.815147958356704,,,,,,,,,,,
66.1091188837562,-6.737909356042981,,,,,,,,,,,
64.81163803893617,-6.654138743449594,,,,,,,,,,,
63.48844430514657,-6.564030053026851,,,,,,,,,,,
62.14026198119441,-6.467791904105743,,,,,,,,,,,
60.76783195787427,-6.365647817655184,,,,,,,,,,,
59.371910077810305,-6.257836431039238,,,,,,,,,,,
57.95326549529828,-6.144611712774367,,,,,,,,,,,
56.5126790361474,-6.026243177286638,,,,,,,,,,,
55.05094155752221,-5.903016099668968,,,,,,,,,,,
53.568852307784766,-5.775231730438358,,,,,,,,,,,
52.06721728633646,-5.643207510293115,,,,,,,,,,,
50.5468476034599,-5.5072772848700895,,,,,,,,,,,
49.008557840160954,-5.367791519501897,,,,,,,,,,,
47.45316440801078,-5.225117513974171,,,,,,,,,,,
45.88148390898757,-5.079639617282766,,,,,,,,,,,
44.29433149531867,-4.931759442391007,,,,,,,,,,,
42.69251922932251,-4.781896080986918,,,,,,,,,,,
41.076854443250525,-4.630486318240452,,,,,,,,,,,
39.44813809912908,-4.477984847560716,,,,,,,,,,,
37.80716314860149,-4.324864485353212,,,,,,,,,,,
36.15471289276992,-4.171616385777059,,,,,,,,,,,
34.4915593420374,-4.018750255502238,,,,,,,,,,,
32.81846157594968,-3.866794568466801,,,,,,,,,,,
31.136164103037288,-3.7162967806341247,,,,,,,,,,,
29.445395220657453,-3.5678235447501305,,,,,,,,,,,
27.746865374835973,-3.4219609251005143,,,,,,,,,,,
26.0412655201093,-3.2793146122679824,,,,,,,,,,,
24.32926547936639,-3.1405101378894793,,,,,,,,,,,
